Date,Mean discharge (Observed),Q sat discharge
19-12-2011,142.8000031,
20-12-2011,123.3000031,
21-12-2011,108.5999985,
22-12-2011,100,
23-12-2011,102.6999969,
24-12-2011,113.5,
25-12-2011,116,
26-12-2011,110.3000031,
27-12-2011,102.4000015,
28-12-2011,96.58999634,
29-12-2011,97.05000305,
30-12-2011,105.3000031,
31-12-2011,128.8000031,
1-1-2012,149,
2-1-2012,161.1000061,
3-1-2012,155,
4-1-2012,143.5,
5-1-2012,141.8999939,
6-1-2012,148.1000061,
7-1-2012,176.3999939,
8-1-2012,187.1999969,
9-1-2012,177,
10-1-2012,160.3000031,
11-1-2012,153.1999969,
12-1-2012,155.8000031,
13-1-2012,161,
14-1-2012,172.6000061,
15-1-2012,177.8000031,
16-1-2012,173.3999939,
17-1-2012,169.1999969,
18-1-2012,159.6999969,
19-1-2012,166.8000031,
20-1-2012,184.3000031,
21-1-2012,187.6000061,
22-1-2012,184.6000061,
23-1-2012,193.8999939,
24-1-2012,219.3999939,
25-1-2012,213.3999939,
26-1-2012,204.1999969,
27-1-2012,199.6000061,
28-1-2012,214.5,
29-1-2012,233,
30-1-2012,233.3999939,
31-1-2012,224,
1-2-2012,237.5,
2-2-2012,220.3999939,
3-2-2012,194.3999939,
4-2-2012,193.5,
5-2-2012,190.1000061,
6-2-2012,179.6999969,
7-2-2012,167.5,
8-2-2012,158.8999939,
9-2-2012,188,
10-2-2012,213.6999969,
11-2-2012,191.8999939,
12-2-2012,189.1999969,
13-2-2012,202,
14-2-2012,207.6999969,
15-2-2012,212.5,
16-2-2012,235.1999969,
17-2-2012,263.7999878,
18-2-2012,269.2999878,
19-2-2012,296,
20-2-2012,304.3999939,
21-2-2012,256.7999878,
22-2-2012,220,
23-2-2012,212.3999939,
24-2-2012,216.3000031,
25-2-2012,205.6000061,
26-2-2012,192.1999969,
27-2-2012,186.1999969,
28-2-2012,169,
29-2-2012,160.1999969,
1-3-2012,191.8000031,
2-3-2012,218.6000061,
3-3-2012,228.6000061,
4-3-2012,262.7000122,
5-3-2012,237.3999939,
6-3-2012,206.5,
7-3-2012,185.3999939,
8-3-2012,194.8999939,
9-3-2012,214.3999939,
10-3-2012,202.5,
11-3-2012,186.3000031,
12-3-2012,172.8000031,
13-3-2012,165.6000061,
14-3-2012,199.8000031,
15-3-2012,290.7999878,
16-3-2012,313.7000122,
17-3-2012,318.2000122,
18-3-2012,306.5,
19-3-2012,277.2000122,
20-3-2012,264.3999939,
21-3-2012,265.2999878,
22-3-2012,287.1000061,
23-3-2012,317.2999878,
24-3-2012,333.2000122,
25-3-2012,329.2000122,
26-3-2012,311.3999939,
27-3-2012,295.3999939,
28-3-2012,278.3999939,
29-3-2012,284,
30-3-2012,320.6000061,
31-3-2012,333.7000122,
1-4-2012,322,
2-4-2012,316.8999939,
3-4-2012,316.7999878,
4-4-2012,328.7999878,
5-4-2012,310.3999939,
6-4-2012,319.1000061,
7-4-2012,345.2000122,
8-4-2012,354.7000122,
9-4-2012,329.1000061,
10-4-2012,293.2000122,
11-4-2012,319.2999878,
12-4-2012,363,
13-4-2012,349.5,
14-4-2012,344.8999939,
15-4-2012,342.6000061,
16-4-2012,323.7000122,
17-4-2012,303.7000122,
18-4-2012,300.6000061,
19-4-2012,302.5,
20-4-2012,310.7999878,
21-4-2012,332.2999878,
22-4-2012,346.6000061,
23-4-2012,332.7999878,
24-4-2012,326.5,
25-4-2012,384.8999939,
26-4-2012,428.7000122,
27-4-2012,427.1000061,
28-4-2012,435.5,
29-4-2012,428.2000122,
30-4-2012,401.2999878,
1-5-2012,386.7000122,
2-5-2012,395.7000122,
3-5-2012,402.2000122,
4-5-2012,384.1000061,
5-5-2012,423.8999939,
6-5-2012,449.8999939,
7-5-2012,415.7999878,
8-5-2012,381.1000061,
9-5-2012,418.2000122,
10-5-2012,473.7999878,
11-5-2012,479.8999939,
12-5-2012,467.6000061,
13-5-2012,453.7999878,
14-5-2012,411.8999939,
15-5-2012,359.6000061,
16-5-2012,370.8999939,
17-5-2012,394.1000061,
18-5-2012,380.6000061,
19-5-2012,393,
20-5-2012,401.5,
21-5-2012,389.2999878,
22-5-2012,354,
23-5-2012,358.7000122,
24-5-2012,365.3999939,
25-5-2012,365.2999878,
26-5-2012,370.8999939,
27-5-2012,365,
28-5-2012,348.5,
29-5-2012,342.2999878,
30-5-2012,343.1000061,
31-5-2012,355,
1-6-2012,352.2999878,
2-6-2012,380,
3-6-2012,394.6000061,
4-6-2012,386.5,
5-6-2012,364,
6-6-2012,357.7000122,
7-6-2012,358.3999939,
8-6-2012,338.2000122,
9-6-2012,366.3999939,
10-6-2012,383.6000061,
11-6-2012,368.1000061,
12-6-2012,335,
13-6-2012,374.6000061,
14-6-2012,432,
